Word, DocumentID-Frequency of the word
running, 1-2 2-2 3-1 4-3 5-1 9-3 10-2 11-1 12-1 15-1
runs, 6-1 7-2 10-1 11-2 12-1 14-1
rupture, 15-1
rural, 9-7 14-3 15-4 16-1
rush, 2-2 7-1 13-1 16-1
rushed, 2-1 13-1 14-2 15-1 16-2
rushes, 7-1
rushing, 14-3
rusling, 15-1
russian, 16-2
rustic, 8-1
rustically, 5-1
rustick, 16-1
rustled, 4-1
rustling, 4-1 13-1
rutgers, 9-3 11-1 12-3
rye, 8-1
ryranny, 13-1
rzic, 12-1
s, 9-4 10-1 11-5 12-3 13-2
sabbath, 15-2
sabean, 14-1
sable, 13-1
sacred, 6-1 13-6 14-7 15-8 16-4
sacrifice, 9-7 13-2 16-1
sacrificed, 16-1
sacrificing, 16-2
sad, 1-2 3-1 6-1 7-5 13-7 14-7 15-3 16-17
sadly, 1-2 4-3
sadness, 5-1 7-1 14-1 16-1
safe, 2-1 3-1 13-6 14-1 15-2 16-6
safer, 16-1
safest, 5-2 15-1 16-1
safety, 5-2 12-1 13-2 15-1
sagacious, 16-1
sage, 2-1 13-1
sages, 16-1
saic, 10-2
said, 1-62 2-128 3-136 4-136 5-2 6-3 7-5 8-3 9-15 10-8 11-20 12-4 13-3 14-13 15-21 16-8
saidst, 14-1 15-2
sail, 13-2 14-1 15-1
sailing, 13-1
sails, 13-1 14-1
saint, 9-1 13-1 14-1 16-1
saintly, 14-1
saints, 13-2 14-3 15-5 16-2
sake, 5-4 6-3 7-1 9-1 13-1 15-1 16-4
sale, 6-1 7-1 10-1 11-2
sally, 12-1
salmon, 4-1
salt, 1-2 16-1
salutation, 8-1 14-1
salute, 6-1 16-1
salvation, 16-3
samarchand, 16-1
same, 1-6 2-12 3-3 4-3 5-1 7-1 8-1 9-14 10-10 11-15 12-12 13-2 14-6 15-2 16-6
samoed, 16-1
samos, 14-1
sample, 10-2 11-1
samples, 9-1 10-2 11-2
samson, 15-1
san, 10-3
sanctified, 6-1
sanctities, 13-1
sanctitude, 14-1
sanctity, 7-1 15-2 16-2
sanctuary, 13-1 14-2 16-1
sand, 1-1
sandbox, 9-1
sands, 4-1 13-2 14-1
sang, 2-1 4-1 13-1 15-1
sanguine, 10-1 14-1
sans, 6-5
sap, 15-1
sapience, 15-3
sapient, 15-1
sapphire, 13-1 14-1 15-2
sapphires, 14-1
sarah, 12-1
sarra, 16-1
sat, 1-5 2-3 3-4 4-5 6-3 13-18 14-13 15-7 16-9
satan, 13-21 14-25 15-3 16-20
satanick, 14-1
satans, 16-2
satchel, 6-1
sated, 15-1
satellite, 10-2
satiate, 13-1 15-4
satiety, 15-1
satisfaction, 13-1 16-1
satisfactory, 12-1
satisfied, 8-1 11-1 13-1 15-1 16-3
satisfy, 8-1 10-1 11-1 13-1 15-1 16-2
satst, 13-1 14-1
saturdays, 7-1
saturn, 13-2 16-1
sauce, 7-2
saucepan, 2-1
saucepans, 2-1
saucer, 1-1
saucy, 7-1
savage, 1-1 3-3 6-2 14-1 15-2
savd, 13-1
save, 1-1 8-1 10-1 11-1 13-6 14-7 15-4 16-4
saved, 6-2 11-2
saves, 4-1 6-1 13-1 16-1
saving, 10-2 11-1
savings, 10-1
saviour, 13-1 16-3
savour, 15-1 16-2
savours, 16-1
savoury, 14-3 15-2
saw, 1-3 2-3 3-5 4-2 5-2 6-3 7-2 8-3 9-2 10-1 11-1 13-8 14-15 15-18 16-18
sawest, 6-2 7-1 15-1 16-7
saws, 6-1
sawst, 13-1
say, 1-14 2-15 3-17 4-6 5-6 6-5 7-18 8-14 9-6 10-3 11-5 12-2 13-5 14-4 15-10 16-8
sayest, 5-2 7-1 8-1 14-2 15-1
saying, 1-7 2-5 3-2 4-1 5-1 8-3 10-2 11-2 13-2 14-5 15-8 16-4
sayings, 6-1
says, 1-3 3-1 5-1 6-3 8-1 9-1 11-2
sayst, 7-1
scalability, 9-1 10-5
scalding, 16-1
scale, 1-1 10-18 11-1 12-3 13-1 14-5 15-1 16-2
scaled, 13-1
scales, 10-2 11-1 14-1 15-1 16-1
scaly, 4-1 13-2 15-1
scan, 9-1 10-13 11-1 12-2
scandal, 13-1
scanned, 9-1 10-12 11-6 12-5 15-1
scanner, 10-8 11-8 12-2
scanners, 10-4 11-1
scanning, 9-3 10-58 11-15 12-17
scans, 10-2 11-1
scant, 9-1 14-1
scape, 6-1 13-3 14-1 16-2
scaped, 13-1 14-4 16-1
scar, 7-1 13-1
scarce, 5-1 6-1 7-1 13-4 14-7 15-8 16-5
scare, 13-1
scarf, 8-1
scars, 13-1
scathed, 13-1
scatterd, 7-1
scattered, 9-1 13-2 16-2
scenario, 9-1
scene, 5-5 6-10 7-4 8-6 14-1 16-1
scenes, 9-3
scent, 15-1 16-2
scented, 16-1
scents, 15-1
scepter, 13-2 14-3 15-2 16-1
sceptered, 16-1
sceptre, 13-2
sceptred, 13-2
scheduled, 10-2 11-2
scheme, 10-3 11-3
schemes, 11-2
schenck, 12-1
scholar, 9-2 11-1 12-4
scholarly, 9-44 10-5 11-4 12-16
scholars, 7-1 9-56 10-4 11-3 12-10
scholarship, 9-18 10-2 11-2
school, 3-5 4-1 5-1 6-2 9-19 10-3 12-6
schooled, 5-1
schoolroom, 1-1
schools, 9-12 10-1 12-1
science, 9-3 10-6 11-2 12-10 15-1
sciences, 9-3 10-2 12-3
sciential, 15-1
scientific, 9-2 10-2 11-1 12-3
scientist, 11-1 12-2
scientists, 12-1
scipio, 15-1
scoffer, 7-1
scoffing, 14-2
scolded, 1-1
scoop, 11-1 14-1
scope, 9-1 10-2 11-2 13-1
scorched, 14-1
scorching, 16-1
score, 9-1
scores, 11-2
scorn, 6-1 7-2 8-3 13-4 14-8 15-3 16-3
scornd, 7-1
scorned, 14-1 16-2
scornful, 14-2 16-1
scorning, 13-1
scorpion, 14-1 16-2
scorpions, 13-1
scour, 14-1
scourge, 13-1 14-1
scourged, 16-1
scours, 13-1
scout, 13-2
scouts, 14-1
scowls, 13-1
scrambling, 2-1
scratch, 7-1 11-1
scratching, 2-1
scream, 3-1 4-1
screamed, 2-1 3-2 4-1
screaming, 3-1
screen, 9-6 10-14 11-5 12-1
screening, 10-2 12-1
screens, 10-1
scribbled, 15-1
scrip, 6-1
scrippage, 6-1
scroll, 4-2 16-1
scrolling, 9-1
scrupled, 15-1
scrutiny, 11-1
scsi, 11-2
sculls, 15-1
scully, 12-1
sculpture, 9-1
sculptures, 13-1
scummed, 13-1
scurf, 13-1
scylla, 13-1
sdeined, 14-1
sea, 1-2 2-1 3-3 4-8 6-2 13-19 14-5 15-12 16-22
seafaring, 13-1
seal, 8-1 14-1 15-2 16-1
seals, 4-1 16-1
seamen, 13-1
seamless, 9-1 10-1
seamlessly, 10-1
seaography, 3-1
search, 3-1 5-1 6-1 9-22 10-3 11-6 12-1 13-2 14-4 15-4 16-1
searchability, 9-1 10-1 12-1
searchable, 9-8 10-1 11-2 12-2
searched, 9-3 11-4 15-1 16-1
searchers, 11-1
searches, 9-5 10-1 11-4 12-1 13-2
searching, 6-1 9-11 10-5 11-13 12-3
seas, 13-1 15-4 16-2
seaside, 1-1
season, 14-1 15-1 16-2
seasons, 5-1 13-1 14-2 15-4 16-2
seat, 13-18 14-7 15-10 16-16
seated, 4-1 14-1 15-1
seats, 13-2 14-1 16-1
sechem, 16-1
second, 1-1 2-2 4-1 5-5 6-2 8-4 9-5 10-6 11-7 12-3 13-8 14-4 15-5 16-11
secondary, 9-3 10-2 11-2 12-1 14-1
seconded, 7-1 14-2 16-1
secondly, 2-1 3-1
secresy, 15-1
secret, 4-1 5-1 13-6 14-3 15-2 16-3
secretest, 16-1
secretly, 5-1 6-1
secrets, 13-2 14-1 15-2 16-2
sect, 14-1
section, 9-2 11-1
sections, 9-2 11-2
sector, 12-2
secular, 16-1
secure, 9-1 10-1 13-4 14-7 15-4 16-5
secured, 14-2
securely, 14-1
securer, 15-1
sedentary, 15-1
sedge, 13-1
seditious, 14-1
seduce, 13-1 15-2
seduced, 13-2 14-1 15-1 16-4
sedulous, 15-1
see, 1-21 2-22 3-14 4-10 5-9 6-11 7-12 8-6 9-9 11-7 12-1 13-10 14-11 15-13 16-21
seed, 12-1 13-2 15-2 16-26
seeing, 2-1 8-2 9-1 15-2 16-2
seek, 5-3 6-7 7-1 9-2 10-2 11-3 12-2 13-8 14-9 15-10 16-6
seekest, 15-2
seeking, 6-2 7-1 11-1 12-1 13-1 16-2
seeks, 8-1 14-1 15-3 16-2
seekst, 14-1
seem, 1-4 3-2 4-2 5-1 6-1 8-2 9-4 10-1 11-3 13-2 14-4 15-9 16-3
seemd, 13-1
seemed, 1-11 2-10 3-3 4-3 9-4 10-1 11-3 12-2 13-17 14-21 15-12 16-8
seemest, 15-1
seeming, 7-2 8-1 14-1 15-1 16-2
seemingly, 14-1
seemliest, 15-1
seems, 1-3 2-1 4-1 5-1 7-2 9-1 10-1 11-2 12-1 13-8 14-8 15-7 16-5
seemst, 6-1
seen, 1-5 2-3 3-3 4-4 5-1 6-2 7-1 8-1 9-1 11-2 12-1 13-6 14-4 15-11 16-9
seer, 16-1
sees, 7-1 9-2 10-3 13-3 14-1 15-3
seest, 6-1 13-5 14-6 15-5
segmentation, 11-1
segments, 9-1
seise, 14-1 16-2
seised, 13-2 14-2 15-3 16-1
seisure, 16-1
seize, 6-1 13-2 14-1
seized, 13-4 14-1 16-1
seizure, 6-1
seldom, 1-1 15-1 16-1
select, 9-4 10-2 12-3 16-3
selected, 9-6 10-4 11-1 12-6
selectest, 15-1
selecting, 9-3 10-6 11-2 12-1
selection, 9-1 10-6 11-2 12-2
selective, 10-1
selectively, 11-1
selects, 11-1
seleucia, 14-1
self, 9-1 10-3 13-3 14-4 15-7 16-6
sell, 2-1 4-1 7-1 10-2 12-1
semantic, 11-2
semblance, 13-1 15-1
semblances, 5-1
senate, 16-1
send, 3-1 6-2 8-1 9-1 10-1 11-3 12-1 13-3 14-4 15-4 16-6
sender, 14-1
sending, 1-2 10-1 11-1 16-1
sends, 1-1 8-1 11-1 15-1 16-2
seneshals, 15-1
senior, 5-7 6-17 8-14 11-3 12-6
senir, 16-1
sennaar, 13-1
sennight, 7-1
sensation, 1-1 4-1
sense, 2-2 3-1 9-8 10-7 11-5 12-3 13-4 14-9 15-14 16-4
senseless, 6-1
senses, 13-1 14-1 16-2
sensible, 13-1
sensual, 6-1 15-1
sent, 4-2 5-2 6-1 8-3 10-4 13-3 14-4 15-4 16-11
sentence, 1-1 3-3 4-2 5-1 6-1 11-1 13-4 15-1 16-9
sentenced, 3-1
sententious, 8-1
senteries, 13-1
seons, 13-1
separability, 12-1
separable, 12-1
separate, 9-2 10-3 11-2 12-1 15-4 16-1
separately, 9-1
separates, 9-1
separating, 10-2
separation, 12-1
september, 10-1
seq, 12-3
sequel, 14-1 16-1
sequence, 9-1
sequent, 16-2
sequential, 10-1
sequentially, 11-1
sequesterd, 5-1
sequestered, 14-1
seraph, 13-2 14-4 15-2
seraphic, 13-2
seraphim, 13-4 14-4 15-1
serapis, 13-1
serbonian, 13-1
sere, 16-1
serenate, 14-1
serendipity, 11-3
serene, 13-1 14-2 15-2 16-2
serial, 10-1
serials, 9-1 10-1 11-1 12-1
sericana, 13-1
series, 2-1 9-2 10-1 11-4 12-1
serious, 9-1 10-5 11-5
seriously, 2-1
sermons, 5-1
serpent, 2-9 13-2 14-1 15-19 16-16
serpentine, 16-1
serpents, 2-3 16-4
serraliona, 16-1
serried, 13-1 14-1
servant, 6-1 14-1 15-1 16-2
servants, 5-1 16-2
servd, 13-1 15-1
serve, 6-1 7-1 8-1 9-2 10-3 11-3 12-4 13-3 14-14 15-5 16-3
served, 5-1 6-1 9-5 10-1 11-1 12-1 13-2 14-2 15-2 16-2
server, 10-14 12-4
servers, 10-2 12-3
serves, 9-2 10-2 12-1 13-1 15-1
service, 5-2 6-5 8-1 9-5 10-9 11-16 12-14 13-1 14-3 15-1
services, 9-1 10-3 11-2 12-7
servile, 13-2 16-1
servility, 14-1
servily, 14-1
serving, 9-2 10-1
servitude, 5-1 14-2 15-1 16-3
session, 9-16 10-6 11-9 12-20 13-1
sessions, 9-1 10-1 11-2
sestos, 7-1
set, 1-1 2-8 4-5 6-3 7-1 8-2 9-6 10-7 11-21 12-5 13-8 14-9 15-12 16-9
sets, 9-3 11-11 12-1 14-2 15-1 16-1
setting, 4-1 9-2 10-2 11-5 12-1 13-1 14-1
settings, 9-2 10-2 11-1 12-1
settle, 3-1 9-2 14-1
settled, 2-1 3-1 4-1 6-1 13-1 14-1
settling, 3-1
setup, 10-2
setups, 12-1
seven, 1-1 3-5 6-2 7-1 8-2 9-1 10-2 12-1 13-3 15-1 16-4
sevenfold, 13-1 14-1
sevens, 16-1
seventeen, 6-2
seventh, 8-5 15-3 16-1
seventimes, 14-1
seventy, 10-1 11-2 16-1
sever, 15-1
several, 1-3 2-1 9-25 10-35 11-31 12-9 13-3 14-2 15-2 16-3
severally, 6-1
severe, 6-1 13-3 14-4 15-3 16-1
severed, 15-2
severely, 1-2 2-1 3-1
severing, 13-1
severity, 2-1
severtson, 12-2
sewed, 15-2
sewers, 15-2
sex, 7-2 13-1 14-1 15-3 16-2
sexes, 15-1
sextile, 16-1
sgml, 9-10 10-4 11-35 12-13
sh, 3-2
shade, 3-1 6-1 8-1 13-2 14-15 15-5 16-3
shaded, 15-1
shades, 13-4 14-2 15-3 16-2
shadest, 13-1
shadier, 14-1
shadiest, 13-1
shading, 13-2
shadow, 7-1 13-3 14-2 15-1 16-1
shadowed, 14-1 15-2
shadowing, 14-2
shadows, 16-1
shadowy, 14-3 16-2
shady, 13-1 14-3 15-5
shafts, 13-1 14-1
shaggy, 14-2
shahani, 12-1
shake, 2-1 5-2 14-1
shaked, 7-1
shaken, 15-1
shakes, 13-1 15-1
shakespeare, 1-1
shaking, 2-2 4-1
shal, 16-1
shall, 1-13 2-3 3-5 4-4 5-26 6-12 7-14 8-16 13-69 14-27 15-34 16-153
shallow, 6-5 7-1 15-1
shalt, 5-3 6-4 7-2 13-7 14-7 15-5 16-12
shame, 7-2 8-2 13-4 14-4 15-10 16-8
shamed, 5-1 13-1 15-1
shameful, 16-1
shank, 6-1
shant, 1-3 3-1 4-2
shape, 1-1 8-1 11-1 13-13 14-12 15-4 16-10
shaped, 2-2 3-1 14-1
shapes, 13-4 14-2 15-2 16-1
sharable, 9-1
share, 4-1 8-1 9-3 13-3 15-1 16-1
shared, 4-1 9-3 10-1 11-1 12-3 14-1
shares, 10-2 11-1
sharing, 4-1 9-1 10-1
shark, 4-1
sharks, 4-1
sharp, 2-3 3-3 6-1 13-1 15-1 16-4
sharpened, 13-1
sharpening, 14-1
sharpest, 13-1 15-1
sharply, 1-2 3-1 4-1
shattered, 13-1 14-1
shattering, 16-1
shaves, 13-1
she, 1-209 2-140 3-107 4-84 5-14 6-6 7-17 8-20 9-20 10-8 11-14 12-6 13-6 14-15 15-59 16-16
sheaf, 6-1 16-1
shear, 6-1
sheaves, 14-1 16-1
shed, 1-1 3-1 14-2 15-2 16-1
shedding, 1-1 15-1
sheds, 13-1
sheep, 4-1 6-2 8-1 16-1
sheepcote, 6-1
sheeps, 7-1
sheer, 13-1 14-2
sheet, 9-1 10-3 11-2
sheets, 10-1
shelf, 10-2 12-1
shell, 1-3 7-1 14-1
shells, 15-1
shelter, 6-1 13-1 15-1
sheltered, 16-2
shelters, 15-1
shelves, 1-2 9-1 10-4 12-1
shepherd, 4-1 6-10 7-5 8-10 13-1 16-1
shepherdess, 5-1 7-3
shepherds, 5-1 6-5 14-1 16-2
shes, 1-4 3-3
shewn, 13-1
shield, 13-2 14-5 16-1
shields, 13-2 14-5 15-2
shift, 7-1 11-1 12-2
shifting, 4-1 11-1
shifts, 6-1 15-1
shilling, 2-1
shillings, 4-1
shine, 13-3 14-2 15-4 16-1
shines, 13-2 14-2 15-2
shingle, 4-1
shining, 1-1 6-1 10-1 13-3 14-2 15-1
shins, 6-1
shiny, 4-1
ship, 10-1 15-1
shipped, 11-1
shiver, 1-1
shivered, 14-1
shivering, 16-1
shoaling, 16-1
shoals, 15-1
shock, 4-1 13-1 14-1 16-1
shoe, 7-1
shoes, 1-1 4-6
shone, 13-11 14-2 15-3 16-2
shooing, 9-1
shook, 1-2 2-3 3-2 4-2 8-1 13-5 14-2 15-2 16-1
shoot, 10-1 14-1
shooting, 14-1
shoots, 8-1 13-2
shopping, 10-1
shore, 1-2 4-2 13-7 14-2 15-1 16-6
shores, 15-3
shorn, 13-1 15-1
short, 1-1 2-2 3-1 7-1 9-2 10-3 11-2 12-2 13-1 14-3 15-6 16-6
shortage, 12-1
shortcomings, 9-1
shorter, 2-2 14-1
shortest, 16-1
shortly, 6-1 10-1
shot, 13-3 14-4 15-3
should, 1-5 2-10 3-5 4-7 5-13 6-9 7-5 8-8 9-15 10-3 11-15 12-6 13-24 14-14 15-7 16-20
shoulder, 2-1 3-3 7-1 14-1
shoulders, 1-1 2-2 4-1 6-1 13-3 14-1
shouldest, 16-1
shouldnt, 1-1 2-2 3-2
shouldst, 5-1 6-1 14-1 15-5 16-1
shout, 5-1 13-3 14-2 15-1 16-1
shouted, 2-1 3-6 4-2
shouting, 3-2
show, 1-2 3-1 5-4 6-4 7-4 8-1 9-5 10-1 11-4 12-4 13-2 14-3 15-5 16-10
showed, 8-1 9-1 10-2 15-1 16-1
shower, 2-2 13-1 14-1 16-3
showered, 14-3
showers, 13-1 14-3
showery, 15-1
showing, 1-1 2-1 11-1
shown, 9-4 14-2
shows, 11-1 12-2 14-3 15-2 16-1
showst, 13-1
shrewd, 8-1
shriek, 1-1 2-1 3-1 4-2
shrieked, 4-1
shrieks, 1-1
shrift, 12-1
shrill, 1-1 3-1 4-3 14-1
shrimp, 4-1
shrine, 13-1 15-1 16-1
shrined, 14-1
shrines, 13-1
shrink, 1-1 5-1 13-1 14-1 16-1
shrinking, 1-2 2-2
shroud, 16-1
shrouds, 13-1
shrub, 14-2 15-2
shrubs, 14-1
shrunk, 6-1 7-1
shuddering, 13-1
shuffle, 10-1
shun, 6-1 13-2 15-3 16-2
shunned, 13-3 14-1 15-2
shunning, 15-1
shut, 1-2 2-1 4-2 7-2 13-6 14-1 15-3 16-1
shutting, 1-2
shy, 1-1
shyly, 2-1
sibma, 13-1
sick, 7-1 16-2
sickens, 6-1
sickness, 16-1
side, 1-3 2-6 3-4 4-4 6-2 7-1 9-1 11-1 13-17 14-18 15-9 16-10
sidelong, 14-1
sideral, 16-1
sides, 1-1 2-2 3-1 5-1 10-1 13-2 14-2 16-1
sidonian, 13-1
siege, 13-1 15-1 16-2
sigh, 3-4 8-1 16-1
sighd, 6-1
sighed, 1-1 2-2 3-1 4-1 8-2 13-1
sighing, 1-1 3-2 6-1 7-1 15-1
sighs, 8-1 13-1 14-1 16-5
sight, 1-3 2-2 3-3 4-2 5-1 7-9 8-3 9-1 11-1 13-9 14-21 15-17 16-21
sighted, 13-1
sights, 13-1 16-1
sign, 4-1 10-1 11-1 12-2 13-2 14-5 15-3 16-5
signal, 9-1 10-3 13-5 14-1 15-1 16-2
signals, 10-1
signed, 4-2
significance, 9-1 10-1
significant, 9-3 10-7 11-8 12-3
significantly, 10-3 11-2 12-1
signifies, 4-1
signify, 1-1
signior, 7-1
signs, 13-2 14-2 15-4 16-3
silence, 1-3 2-7 3-1 4-3 5-1 13-6 14-8 15-4 16-3
silenced, 5-1
silent, 2-2 3-5 13-3 14-6 15-5
silently, 13-1 14-1
silk, 7-1
siloas, 13-1
silver, 9-1 12-2 13-2 14-1 15-1
silvius, 5-1 6-4 7-16 8-21
similar, 9-1 10-2 12-2
similarities, 11-1
similarly, 9-1
similes, 5-1
similitude, 13-1 15-1 16-1
simpering, 8-1
simple, 1-1 3-1 4-3 6-1 7-1 9-2 10-2 11-1 16-1
simples, 7-1
simpleton, 3-1
simplicity, 13-1 14-1
simplify, 9-1
simplistic, 10-1
simply, 1-1 2-1 3-1 7-2 9-5 10-3 11-9 12-3 16-1
simulacra, 9-1 11-2
simulate, 11-1
simulations, 9-1
simultaneously, 10-1 11-2
sin, 6-5 13-5 14-7 15-7 16-29
sinaean, 16-1
sinai, 13-1 16-1
since, 1-1 2-2 3-1 5-2 6-3 7-1 8-2 9-11 10-5 11-8 12-5 13-13 14-18 15-19 16-17
sincere, 13-2 15-1 16-2
sincerest, 16-1
sinewy, 6-1
sinful, 13-1 15-1 16-1
sinfulness, 16-1
sing, 3-1 4-5 6-7 7-1 8-4 13-4 15-2 16-3
singed, 13-2
singers, 4-2
singing, 2-1 3-1 14-2
single, 7-1 9-1 10-12 11-6 12-1 13-2 14-5 15-5 16-3
singly, 13-1
sings, 13-1 14-1
singular, 14-1
sinister, 16-1
sink, 3-1 13-1
sinks, 13-1
sinless, 15-2 16-1
sinned, 14-1 16-5
sinning, 14-1
sins, 9-2 13-2 16-3
sinuous, 15-1
sion, 13-5
sions, 13-1
sir, 1-2 2-4 3-1 5-27 6-10 7-11 8-28
sire, 13-3 14-4 15-3 16-6
sirocco, 16-1
sirrah, 6-1 8-1
sirs, 6-1
sister, 1-2 4-6 6-1 7-6 8-3 15-1
sisterhood, 7-1
sisters, 3-2 4-1 5-1 16-1
sit, 1-2 2-3 3-1 4-2 5-1 6-2 7-1 8-3 9-2 11-1 13-8 14-1 15-4 16-2
site, 9-3 10-1 11-2 12-1
sites, 9-10 12-1
sithe, 16-1
sits, 1-1 9-2 10-1 13-7 14-2 15-1
sitst, 13-1 14-2
sittig, 12-1
sittim, 13-1
sitting, 1-1 2-7 3-1 4-1 7-1 11-1 13-1 14-1 15-1
situate, 14-1
situated, 9-1
situation, 9-3 10-7 11-6 12-2 13-1
situations, 10-2 11-1
six, 1-1 3-1 7-1 9-5 10-5 11-1 12-1 14-1 15-4
sixpence, 4-1
sixteen, 9-1
sixteenth, 4-1
sixth, 6-1 8-1 15-3
sixty, 9-2 10-3 12-1
size, 1-3 2-9 4-1 7-1 9-1 10-16 11-1 12-2 13-1 14-1
sized, 10-1
sizes, 2-1 10-1 12-1
skew, 9-1 12-1
skewed, 10-1
skewing, 10-2
skiff, 13-1
skilful, 15-1
skill, 7-1 10-1 13-1 15-3
skilld, 15-1
skills, 9-6 11-1 12-1
skimming, 2-1
skin, 8-1
skins, 16-2
skirt, 4-1 14-2
skirted, 14-1
skirts, 7-1 8-1 13-1 14-1 16-2
skittishness, 12-1
skurried, 1-1
sky, 2-4 3-1 6-1 7-1 13-7 14-8 15-5 16-4
slack, 13-1 14-1 15-1
slacken, 13-1
slackness, 16-1
slain, 16-3
slander, 7-1
slanderous, 16-1
slant, 16-1
slate, 1-1 4-3
slates, 4-7
slatesll, 4-1
slaughter, 14-1 16-2
slave, 6-1
slaves, 16-1
sleek, 15-1
sleep, 2-4 3-1 4-1 6-1 7-2 8-2 13-1 14-14 15-7 16-4
sleepest, 14-2
sleeping, 6-1 8-2 13-1 15-3 16-1
sleepless, 16-1
sleeps, 7-1 13-2 15-2
sleepy, 1-2 2-1 3-1 4-1 13-1
sleeve, 7-1
sleeves, 9-1
sleights, 15-1
slender, 6-1 14-1 15-1
slept, 5-1 14-3 15-1
sleptst, 16-1
slew, 16-2
slide, 10-1 12-1
slides, 9-1 10-1
sliding, 15-1
slight, 5-1 10-1 11-1 15-1
slightest, 2-1 6-1
slightly, 10-1 11-2 14-1
slime, 15-1 16-2
slimy, 16-1
sling, 16-1
slink, 7-1
slip, 8-1 13-1
slipped, 1-2 4-1
slipperd, 6-1
slippery, 1-1
slope, 13-1 14-2
sloth, 13-1 14-1 16-1
slothful, 13-1
slow, 10-4 13-4 14-2 15-1 16-4
slower, 9-1 10-3 12-1
slowest, 16-1
slowly, 1-3 2-1 3-3 4-1 7-1 10-1 11-1 13-1 14-1
slowness, 10-1
sluces, 16-1
sluggard, 4-1
sluice, 14-1
sluiced, 13-1
slumber, 8-1 13-2
slumbered, 14-1
slumbering, 13-1 15-1
slumbers, 15-1
slumbrous, 14-1
slunk, 14-1 15-1 16-1
slut, 7-2
sluttishness, 7-1
sly, 14-3 15-2
small, 1-7 2-2 3-1 8-2 9-8 10-2 11-4 12-5 13-7 14-4 15-6 16-4
smaller, 1-2 2-1 10-1 15-1
smallest, 2-2 13-3 14-1 15-1
smart, 6-1 14-1
smeared, 16-1
smell, 5-1 13-1 14-5 15-6 16-3
smelling, 14-1 15-1 16-1
smells, 14-2
smile, 1-1 4-1 5-1 6-1 7-1 13-2 14-1 15-2
smiled, 3-2 13-2 14-2 15-4 16-1
smiles, 7-1 14-4 15-4 16-1
smiling, 1-1 3-1 14-3 16-1
smirch, 5-1
smit, 13-1
smite, 14-1
smith, 12-2
smithsonian, 10-3
smoke, 2-1 5-1 7-1 13-4 14-2 15-1
smoked, 13-1
smoking, 2-2
smooth, 6-1 8-1 13-4 14-3 15-4 16-2
smoothed, 13-1 14-1
smoothness, 5-1
smooths, 14-1
smote, 13-1 14-3 16-2
smother, 5-1
smutty, 14-1
snail, 4-3 6-1 7-3
snake, 8-2 15-3 16-2
snaky, 13-1 15-1 16-1
snappishly, 1-1
snapshot, 10-2
snare, 14-1 16-3
snares, 16-1
snatch, 1-2
snatched, 16-2
sneeze, 2-1 4-1
sneezed, 2-1
sneezes, 2-2
sneezing, 2-4 4-2
snorting, 2-1
snout, 2-1
snow, 13-2 16-3
snowy, 13-2 16-1
snuffed, 16-1
so, 1-40 2-36 3-40 4-35 5-34 6-28 7-38 8-36 9-24 10-17 11-23 12-10 13-94 14-108 15-133 16-112
soar, 13-1 14-2 15-1
soared, 15-1
soaring, 14-1 15-1
soars, 13-1
sob, 2-1
sobbed, 2-1
sobbing, 2-1 3-2 5-1
sober, 8-1 14-1 16-1
sobs, 4-4
sociable, 14-1
sociably, 16-1
social, 9-4 12-4 15-1
societies, 9-1 10-1 11-1
society, 7-1 8-2 9-1 10-3 11-8 12-5 15-4
societys, 12-1
socket, 11-1
sodom, 13-1 16-1
soeer, 13-1
sofala, 16-1
soft, 1-1 7-1 13-6 14-9 15-9 16-4
soften, 13-1
softened, 15-1 16-1
softening, 15-1
softest, 7-1 15-1
softly, 1-1 7-1
softness, 14-1
software, 9-21 10-37 11-24 12-19
softwares, 9-2
soil, 6-1 13-5 14-2 15-1 16-8
soiled, 15-1
sojourn, 13-1 16-2
sojourned, 15-1
sojourners, 13-1 16-1
solace, 14-1 15-4
solaced, 15-1
sold, 6-1 7-1 11-4
soldans, 13-1
soldier, 4-1 6-1
soldiers, 3-10 7-1
sole, 13-8 14-8 15-10 16-5
solemn, 1-1 2-2 6-1 13-4 14-4 15-5 16-2
solemnized, 7-1 15-1
solemnly, 1-2 4-2
soles, 4-1
solicit, 16-1
solicited, 15-1
soliciting, 12-1
solicitous, 16-1
solid, 1-1 13-2 14-1 15-1 16-2
solitary, 6-1 13-1 14-1 15-2
solitude, 13-1 15-5 16-1
sollicit, 15-1
solomon, 12-1 13-1
solstitial, 16-1
solution, 9-3 10-2 11-4 12-2 14-1 15-1
solutions, 10-2 11-1 12-2
solve, 9-1 10-2 15-1
solved, 10-1 11-1
solves, 10-1
some, 1-7 2-22 3-7 4-15 5-7 6-9 7-8 8-7 9-33 10-27 11-34 12-27 13-26 14-20 15-16 16-29
somebody, 1-3 3-2 4-2 11-1 12-1
somebodys, 11-1
someday, 11-1
somehow, 1-1 11-2 12-1
someone, 3-1 9-1 11-2 12-2
somersault, 2-1 4-1
something, 1-6 2-7 3-4 4-1 5-3 6-2 7-3 8-1 9-5 10-3 11-20 12-3 13-1 15-3 16-2
sometime, 15-1
sometimes, 1-2 2-2 4-1 8-2 9-2 12-1 13-4 14-6 15-5 16-1
somewhat, 9-2 10-1 11-3 12-1 13-1 14-1
